"","digest_id","extraction_id.x","sample_id","ligation_id","date","quant","notes","enzymes","DNA","vol_in"
"186","D3282","E1397","APCL14_558",NA,"2016-09-18",37.753,NA,"PstI_MluCI",NA,3.97319418324372
"187","D3339","E3003","APCL16_035",NA,"2016-09-18",41.981,NA,"PstI_MluCI",NA,3.57304494890546
"188","D3329","E2993","APCL16_025",NA,"2016-09-18",44.795,NA,"PstI_MluCI",NA,3.34858801205492
"189","D3278","E1480","APCL14_447",NA,"2016-09-18",45.383,NA,"PstI_MluCI",NA,3.30520238855959
"190","D3326","E2990","APCL16_022",NA,"2016-09-18",46.103,NA,"PstI_MluCI",NA,3.2535843654426
"191","D3324","E2988","APCL16_020",NA,"2016-09-18",47.437,NA,"PstI_MluCI",NA,3.16208866496617
"192","D3336","E3000","APCL16_032",NA,"2016-09-18",48.223,NA,"PstI_MluCI",NA,3.11054890819733
"193","D3259","E1478","APCL14_445",NA,"2016-09-18",50.442,NA,"PstI_MluCI",NA,2.97371238253836
"194","D3337","E3001","APCL16_033",NA,"2016-09-18",53.615,NA,"PstI_MluCI",NA,2.79772451739252
"195","D3260","E1385","APCL14_546",NA,"2016-09-18",58.414,NA,"PstI_MluCI",NA,2.56787756359777
"196","D3328","E2992","APCL16_024",NA,"2016-09-18",59.42,NA,"PstI_MluCI",NA,2.52440255806126
"197","D3332","E2996","APCL16_028",NA,"2016-09-18",61.743,NA,"PstI_MluCI",NA,2.42942519799815
"198","D3334","E2998","APCL16_030",NA,"2016-09-18",63.591,NA,"PstI_MluCI",NA,2.35882436193801
"199","D3293","E2521","APCL15_372039",NA,"2016-09-18",71.296,NA,"PstI_MluCI",NA,2.10390484739677
"200","D3279","E1388","APCL14_549",NA,"2016-09-18",133.328,NA,"PstI_MluCI",NA,1.12504500180007
