"","Row","Col","Sample","Plate"
"3935","F","12","D1448","D1355-D1450"
"3936","G","12","D1449","D1355-D1450"
"3937","H","12","D1450","D1355-D1450"
"3938","A","1","D1451","D1451-D1471"
"3939","B","1","D1452","D1451-D1471"
"3940","C","1","D1453","D1451-D1471"
"3941","D","1","D1454","D1451-D1471"
"3942","E","1","D1455","D1451-D1471"
"3943","F","1","D1456","D1451-D1471"
"3944","G","1","D1457","D1451-D1471"
"3945","H","1","D1458","D1451-D1471"
"3946","A","2","D1459","D1451-D1471"
"3947","B","2","D1460","D1451-D1471"
"3948","C","2","D1461","D1451-D1471"
"3949","D","2","D1462","D1451-D1471"
"3950","E","2","D1463","D1451-D1471"
"3951","F","2","D1464","D1451-D1471"
"3952","G","2","D1465","D1451-D1471"
"3953","H","2","D1466","D1451-D1471"
"3954","A","3","D1467","D1451-D1471"
"3955","B","3","D1468","D1451-D1471"
"3956","C","3","D1469","D1451-D1471"
"3957","D","3","D1470","D1451-D1471"
"3958","E","3","D1471","D1451-D1471"
"4034","A","1","D1474","D1474-D1529"
"4035","B","1","D1475","D1474-D1529"
"4036","C","1","D1476","D1474-D1529"
"4037","D","1","D1477","D1474-D1529"
"4038","E","1","D1478","D1474-D1529"
"4039","F","1","D1479","D1474-D1529"
"4040","G","1","D1480","D1474-D1529"
"4041","H","1","D1481","D1474-D1529"
"4042","A","2","D1482","D1474-D1529"
"4043","B","2","D1483","D1474-D1529"
"4044","C","2","D1484","D1474-D1529"
"4045","D","2","D1485","D1474-D1529"
"4046","E","2","D1486","D1474-D1529"
"4047","F","2","D1487","D1474-D1529"
"4048","G","2","D1488","D1474-D1529"
"4049","H","2","D1489","D1474-D1529"
"4050","A","3","D1490","D1474-D1529"
"4051","B","3","D1491","D1474-D1529"
"4052","C","3","D1492","D1474-D1529"
"4053","D","3","D1493","D1474-D1529"
"4054","E","3","D1494","D1474-D1529"
"4055","F","3","D1495","D1474-D1529"
"4056","G","3","D1496","D1474-D1529"
"4057","H","3","D1497","D1474-D1529"
"4058","A","4","D1498","D1474-D1529"
"4059","B","4","D1499","D1474-D1529"
"4060","C","4","D1500","D1474-D1529"
"4061","D","4","D1501","D1474-D1529"
"4062","E","4","D1502","D1474-D1529"
"4063","F","4","D1503","D1474-D1529"
"4064","G","4","D1504","D1474-D1529"
"4065","H","4","D1505","D1474-D1529"
"4066","A","5","D1506","D1474-D1529"
"4067","B","5","D1507","D1474-D1529"
"4068","C","5","D1508","D1474-D1529"
"4069","D","5","D1509","D1474-D1529"
"4070","E","5","D1510","D1474-D1529"
"4071","F","5","D1511","D1474-D1529"
"4072","G","5","D1512","D1474-D1529"
"4073","H","5","D1513","D1474-D1529"
"4074","A","6","D1514","D1474-D1529"
"4075","B","6","D1515","D1474-D1529"
"4076","C","6","D1516","D1474-D1529"
"4077","D","6","D1517","D1474-D1529"
"4078","E","6","D1518","D1474-D1529"
"4079","F","6","D1519","D1474-D1529"
"4080","G","6","D1520","D1474-D1529"
"4081","H","6","D1521","D1474-D1529"
"4082","A","7","D1522","D1474-D1529"
"4083","B","7","D1523","D1474-D1529"
"4084","C","7","D1524","D1474-D1529"
"4085","D","7","D1525","D1474-D1529"
"4086","E","7","D1526","D1474-D1529"
"4087","F","7","D1527","D1474-D1529"
"4088","G","7","D1528","D1474-D1529"
"4089","H","7","D1529","D1474-D1529"
"4130","A","1","D1530","D1530-D1625"
"4131","B","1","D1531","D1530-D1625"
"4132","C","1","D1532","D1530-D1625"
"4133","D","1","D1533","D1530-D1625"
"4134","E","1","D1534","D1530-D1625"
"4135","F","1","D1535","D1530-D1625"
"4136","G","1","D1536","D1530-D1625"
"4137","H","1","D1537","D1530-D1625"
"4138","A","2","D1538","D1530-D1625"
"4139","B","2","D1539","D1530-D1625"
"4140","C","2","D1540","D1530-D1625"
"4141","D","2","D1541","D1530-D1625"
"4142","E","2","D1542","D1530-D1625"
"4143","F","2","D1543","D1530-D1625"
"4144","G","2","D1544","D1530-D1625"
"4145","H","2","D1545","D1530-D1625"
"4146","A","3","D1546","D1530-D1625"
"4147","B","3","D1547","D1530-D1625"
"4148","C","3","D1548","D1530-D1625"
"4149","D","3","D1549","D1530-D1625"
"4150","E","3","D1550","D1530-D1625"
"4151","F","3","D1551","D1530-D1625"
"4152","G","3","D1552","D1530-D1625"
"4153","H","3","D1553","D1530-D1625"
"4154","A","4","D1554","D1530-D1625"
"4155","B","4","D1555","D1530-D1625"
"4156","C","4","D1556","D1530-D1625"
"4157","D","4","D1557","D1530-D1625"
"4158","E","4","D1558","D1530-D1625"
"4159","F","4","D1559","D1530-D1625"
"4160","G","4","D1560","D1530-D1625"
"4161","H","4","D1561","D1530-D1625"
"4162","A","5","D1562","D1530-D1625"
"4163","B","5","D1563","D1530-D1625"
"4164","C","5","D1564","D1530-D1625"
"4165","D","5","D1565","D1530-D1625"
"4166","E","5","D1566","D1530-D1625"
"4167","F","5","D1567","D1530-D1625"
"4168","G","5","D1568","D1530-D1625"
"4169","H","5","D1569","D1530-D1625"
"4170","A","6","D1570","D1530-D1625"
"4171","B","6","D1571","D1530-D1625"
"4172","C","6","D1572","D1530-D1625"
"4173","D","6","D1573","D1530-D1625"
"4174","E","6","D1574","D1530-D1625"
"4175","F","6","D1575","D1530-D1625"
"4176","G","6","D1576","D1530-D1625"
"4177","H","6","D1577","D1530-D1625"
"4178","A","7","D1578","D1530-D1625"
"4179","B","7","D1579","D1530-D1625"
"4180","C","7","D1580","D1530-D1625"
"4181","D","7","D1581","D1530-D1625"
"4182","E","7","D1582","D1530-D1625"
"4183","F","7","D1583","D1530-D1625"
"4184","G","7","D1584","D1530-D1625"
"4185","H","7","D1585","D1530-D1625"
"4186","A","8","D1586","D1530-D1625"
"4187","B","8","D1587","D1530-D1625"
"4188","C","8","D1588","D1530-D1625"
"4189","D","8","D1589","D1530-D1625"
"4190","E","8","D1590","D1530-D1625"
"4191","F","8","D1591","D1530-D1625"
"4192","G","8","D1592","D1530-D1625"
"4193","H","8","D1593","D1530-D1625"
"4194","A","9","D1594","D1530-D1625"
"4195","B","9","D1595","D1530-D1625"
"4196","C","9","D1596","D1530-D1625"
"4197","D","9","D1597","D1530-D1625"
"4198","E","9","D1598","D1530-D1625"
"4199","F","9","D1599","D1530-D1625"
"4200","G","9","D1600","D1530-D1625"
"4201","H","9","D1601","D1530-D1625"
"4202","A","10","D1602","D1530-D1625"
"4203","B","10","D1603","D1530-D1625"
"4204","C","10","D1604","D1530-D1625"
"4205","D","10","D1605","D1530-D1625"
"4206","E","10","D1606","D1530-D1625"
"4207","F","10","D1607","D1530-D1625"
"4208","G","10","D1608","D1530-D1625"
"4209","H","10","D1609","D1530-D1625"
"4210","A","11","D1610","D1530-D1625"
"4211","B","11","D1611","D1530-D1625"
"4212","C","11","D1612","D1530-D1625"
"4213","D","11","D1613","D1530-D1625"
"4214","E","11","D1614","D1530-D1625"
"4215","F","11","D1615","D1530-D1625"
"4216","G","11","D1616","D1530-D1625"
"4217","H","11","D1617","D1530-D1625"
"4218","A","12","D1618","D1530-D1625"
"4219","B","12","D1619","D1530-D1625"
"4220","C","12","D1620","D1530-D1625"
"4221","D","12","D1621","D1530-D1625"
"4222","E","12","D1622","D1530-D1625"
"4223","F","12","D1623","D1530-D1625"
"4224","G","12","D1624","D1530-D1625"
"4225","H","12","D1625","D1530-D1625"
"4226","A","1","D1626","D1626-D1721"
"4227","B","1","D1627","D1626-D1721"
"4228","C","1","D1628","D1626-D1721"
"4229","D","1","D1629","D1626-D1721"
"4230","E","1","D1630","D1626-D1721"
"4231","F","1","D1631","D1626-D1721"
"4232","G","1","D1632","D1626-D1721"
"4233","H","1","D1633","D1626-D1721"
"4234","A","2","D1634","D1626-D1721"
"4235","B","2","D1635","D1626-D1721"
"4236","C","2","D1636","D1626-D1721"
"4237","D","2","D1637","D1626-D1721"
"4238","E","2","D1638","D1626-D1721"
"4239","F","2","D1639","D1626-D1721"
"4240","G","2","D1640","D1626-D1721"
"4241","H","2","D1641","D1626-D1721"
"4242","A","3","D1642","D1626-D1721"
"4243","B","3","D1643","D1626-D1721"
"4244","C","3","D1644","D1626-D1721"
"4245","D","3","D1645","D1626-D1721"
"4246","E","3","D1646","D1626-D1721"
"4247","F","3","D1647","D1626-D1721"
"4248","G","3","D1648","D1626-D1721"
"4249","H","3","D1649","D1626-D1721"
"4250","A","4","D1650","D1626-D1721"
"4251","B","4","D1651","D1626-D1721"
"4252","C","4","D1652","D1626-D1721"
"4253","D","4","D1653","D1626-D1721"
"4254","E","4","D1654","D1626-D1721"
"4255","F","4","D1655","D1626-D1721"
"4256","G","4","D1656","D1626-D1721"
"4257","H","4","D1657","D1626-D1721"
"4258","A","5","D1658","D1626-D1721"
"4259","B","5","D1659","D1626-D1721"
"4260","C","5","D1660","D1626-D1721"
"4261","D","5","D1661","D1626-D1721"
"4262","E","5","D1662","D1626-D1721"
"4263","F","5","D1663","D1626-D1721"
