"digest_id","extraction_id","date","vol_in","ng_in","enzymes","final_vol","quant","DNA_ng","well","plate","notes","correction","corr_message","corr_editor","corr_date"
"D2770","E2412","2016-03-05",30,3517,"PstI_MluCI",40,63.729,2.549,"C8","D2712-D2807","","","","","0000-00-00"
"D2771","E2413","2016-03-05",30,3824,"PstI_MluCI",40,58.752,2.35,"D8","D2712-D2807","","","","","0000-00-00"
"D2772","E2414","2016-03-05",30,387,"PstI_MluCI",40,5.304,0.212,"E8","D2712-D2807","","","","","0000-00-00"
"D2773","E2415","2016-03-05",30,760,"PstI_MluCI",40,9.096,0.364,"F8","D2712-D2807","","","","","0000-00-00"
"D2774","E2416","2016-03-05",30,1851,"PstI_MluCI",40,32.261,1.29,"G8","D2712-D2807","","","","","0000-00-00"
"D2775","E2417","2016-03-05",30,2787,"PstI_MluCI",40,29.103,1.164,"H8","D2712-D2807","","","","","0000-00-00"
"D2776","E2418","2016-03-05",30,635,"PstI_MluCI",40,7.295,0.292,"A9","D2712-D2807","","","","","0000-00-00"
"D2777","E2419","2016-03-05",30,862,"PstI_MluCI",40,6.964,0.279,"B9","D2712-D2807","","","","","0000-00-00"
"D2778","E2420","2016-03-05",30,264,"PstI_MluCI",40,1.953,0.078,"C9","D2712-D2807","","","","","0000-00-00"
"D2779","E2421","2016-03-05",30,605,"PstI_MluCI",40,7.274,0.291,"D9","D2712-D2807","","","","","0000-00-00"
"D2780","E2422","2016-03-05",30,1185,"PstI_MluCI",40,12.751,0.51,"E9","D2712-D2807","","","","","0000-00-00"
"D2781","E2423","2016-03-05",30,3826,"PstI_MluCI",40,54.98,2.199,"F9","D2712-D2807","","","","","0000-00-00"
"D2782","E2424","2016-03-05",30,1336,"PstI_MluCI",40,17.194,0.688,"G9","D2712-D2807","","","","","0000-00-00"
"D2783","E2425","2016-03-05",30,542,"PstI_MluCI",40,4.91,0.196,"H9","D2712-D2807","","","","","0000-00-00"
"D2784","E2426","2016-03-05",30,620,"PstI_MluCI",40,9.722,0.389,"A10","D2712-D2807","","","","","0000-00-00"
"D2785","E2427","2016-03-05",30,226,"PstI_MluCI",40,2.995,0.12,"B10","D2712-D2807","","","","","0000-00-00"
"D2786","E2428","2016-03-05",30,668,"PstI_MluCI",40,15.57,0.623,"C10","D2712-D2807","","","","","0000-00-00"
"D2787","E2429","2016-03-05",30,854,"PstI_MluCI",40,10.784,0.431,"D10","D2712-D2807","","","","","0000-00-00"
"D2788","E2430","2016-03-05",30,665,"PstI_MluCI",40,9.402,0.376,"E10","D2712-D2807","","","","","0000-00-00"
"D2789","E2431","2016-03-05",30,943,"PstI_MluCI",40,11.915,0.477,"F10","D2712-D2807","","","","","0000-00-00"
"D2790","E2432","2016-03-05",30,386,"PstI_MluCI",40,9.321,0.373,"G10","D2712-D2807","","","","","0000-00-00"
"D2791","E2433","2016-03-05",30,639,"PstI_MluCI",40,10.952,0.438,"H10","D2712-D2807","","","","","0000-00-00"
"D2792","E2434","2016-03-05",30,254,"PstI_MluCI",40,16.022,0.641,"A11","D2712-D2807","","","","","0000-00-00"
"D2793","E2435","2016-03-05",30,1976,"PstI_MluCI",40,43.133,1.725,"B11","D2712-D2807","","","","","0000-00-00"
"D2794","E2436","2016-03-05",30,2223,"PstI_MluCI",40,44.331,1.773,"C11","D2712-D2807","","","","","0000-00-00"
"D2795","E2437","2016-03-05",30,571,"PstI_MluCI",40,7.639,0.306,"D11","D2712-D2807","","","","","0000-00-00"
"D2796","E2438","2016-03-05",30,626,"PstI_MluCI",40,9.169,0.367,"E11","D2712-D2807","","","","","0000-00-00"
"D2797","E2439","2016-03-05",30,841,"PstI_MluCI",40,9.945,0.398,"F11","D2712-D2807","","","","","0000-00-00"
"D2798","E2440","2016-03-05",30,884,"PstI_MluCI",40,10.002,0.4,"G11","D2712-D2807","","","","","0000-00-00"
"D2799","E2441","2016-03-05",30,2407,"PstI_MluCI",40,43.393,1.736,"H11","D2712-D2807","","","","","0000-00-00"
"D2800","E2442","2016-03-05",30,811,"PstI_MluCI",40,25.12,1.005,"A12","D2712-D2807","","","","","0000-00-00"
"D2801","E2443","2016-03-05",30,455,"PstI_MluCI",40,4.584,0.183,"B12","D2712-D2807","","","","","0000-00-00"
"D2802","E2444","2016-03-05",30,2403,"PstI_MluCI",40,16.607,0.664,"C12","D2712-D2807","","","","","0000-00-00"
"D2803","E2445","2016-03-05",30,521,"PstI_MluCI",40,4.749,0.19,"D12","D2712-D2807","","","","","0000-00-00"
"D2804","E2446","2016-03-05",30,601,"PstI_MluCI",40,4.12,0.165,"E12","D2712-D2807","","","","","0000-00-00"
"D2805","E2447","2016-03-05",30,348,"PstI_MluCI",40,2.016,0.081,"F12","D2712-D2807","","","","","0000-00-00"
"D2806","E2448","2016-03-05",30,771,"PstI_MluCI",40,8.845,0.354,"G12","D2712-D2807","","","","","0000-00-00"
"D2807","E2449","2016-03-05",30,1217,"PstI_MluCI",40,7.969,0.319,"H12","D2712-D2807","","","","","0000-00-00"
"D2808","E2450","2016-03-05",30,4359,"PstI_MluCI",40,88.638,3.546,"A1","D2808-D2903","","","","","0000-00-00"
"D2809","E2451","2016-03-05",30,4154,"PstI_MluCI",40,53.991,2.16,"B1","D2808-D2903","","","","","0000-00-00"
"D2810","E2452","2016-03-05",30,934,"PstI_MluCI",40,9.871,0.395,"C1","D2808-D2903","","","","","0000-00-00"
"D2811","E2453","2016-03-05",30,1574,"PstI_MluCI",40,19.04,0.762,"D1","D2808-D2903","","","","","0000-00-00"
"D2812","E2454","2016-03-05",30,4489,"PstI_MluCI",40,83.976,3.359,"E1","D2808-D2903","","","","","0000-00-00"
