"","digest_id","ligation_id","date","DNA","vol_in","water","destloc","destwell","sourcewell","sourceloc","run"
"166","D3313","L3150","2016-09-18",200,7.54,14.7,"P13","D10","F9","P9",2
"167","D3314","L3095","2016-09-18",75,14.9,7.3,"P13","E3","G9","P9",2
"168","D3315","L3082","2016-09-18",75,17.2,5,"P13","H1","H9","P9",2
"169","D3316","L3129","2016-09-18",200,18.7,3.5,"P13","G7","A10","P9",2
"170","D3317","L3125","2016-09-18",200,20.7,1.5,"P13","C7","B10","P9",2
"171","D3318","L3135","2016-09-18",200,14.7,7.5,"P13","E8","C10","P9",2
"172","D3319","L3134","2016-09-18",200,16.3,5.9,"P13","D8","D10","P9",2
"173","D3320","L3130","2016-09-18",200,18.4,3.8,"P13","H7","E10","P9",2
"174","D3321","L3142","2016-09-18",200,11,11.2,"P13","D9","F10","P9",2
"175","D3322","L3124","2016-09-18",200,21,1.2,"P13","B7","G10","P9",2
"176","D3323","L3126","2016-09-18",200,20.7,1.5,"P13","D7","H10","P9",2
"177","D3324","L3161","2016-09-18",200,4.22,18,"P13","G11","A11","P9",2
"178","D3325","L3153","2016-09-18",200,6.21,16,"P13","G10","B11","P9",2
"179","D3326","L3160","2016-09-18",200,4.34,17.9,"P13","F11","C11","P9",2
"180","D3327","L3149","2016-09-18",200,8.15,14,"P13","C10","D11","P9",2
"181","D3328","L3166","2016-09-18",200,3.37,18.8,"P13","D12","E11","P9",2
"182","D3329","L3158","2016-09-18",200,4.46,17.7,"P13","D11","F11","P9",2
"183","D3330","L3155","2016-09-18",200,5.48,16.7,"P13","A11","G11","P9",2
"184","D3331","L3148","2016-09-18",200,8.37,13.8,"P13","B10","H11","P9",2
"185","D3332","L3167","2016-09-18",200,3.24,19,"P13","E12","A12","P9",2
"186","D3333","L3143","2016-09-18",200,11,11.2,"P13","E9","B12","P9",2
"187","D3334","L3168","2016-09-18",200,3.15,19.1,"P13","F12","C12","P9",2
"188","D3335","L3114","2016-09-18",75,9.51,12.7,"P13","H5","D12","P9",2
"189","D3336","L3162","2016-09-18",200,4.15,18,"P13","H11","E12","P9",2
"190","D3337","L3164","2016-09-18",200,3.73,18.5,"P13","B12","F12","P9",2
"191","D3338","L3146","2016-09-18",200,10.4,11.8,"P13","H9","G12","P9",2
"192","D3339","L3157","2016-09-18",200,4.76,17.4,"P13","C11","H12","P9",2
